"filename", "language", "HTML", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\Raheel\Desktop\For Error Sreenshots\ProjectFinaCopy\Welcome.html", "HTML", 50, 0, 0, 10, 15, 75
"c:\Users\Raheel\Desktop\For Error Sreenshots\ProjectFinaCopy\bootstrap.bundle.min.js", "JavaScript", 0, 0, 1, 8, 1, 10
"c:\Users\Raheel\Desktop\For Error Sreenshots\ProjectFinaCopy\bootstrap.min.css", "CSS", 0, 9864, 0, 9, 1, 9874
"c:\Users\Raheel\Desktop\For Error Sreenshots\ProjectFinaCopy\comingsoon.html", "HTML", 54, 0, 0, 10, 15, 79
"c:\Users\Raheel\Desktop\For Error Sreenshots\ProjectFinaCopy\controller.html", "HTML", 77, 0, 0, 26, 18, 121
"c:\Users\Raheel\Desktop\For Error Sreenshots\ProjectFinaCopy\daily.html", "HTML", 71, 0, 0, 0, 0, 71
"c:\Users\Raheel\Desktop\For Error Sreenshots\ProjectFinaCopy\demo.html", "HTML", 73, 0, 0, 7, 5, 85
"c:\Users\Raheel\Desktop\For Error Sreenshots\ProjectFinaCopy\firebaseScript.js", "JavaScript", 0, 0, 23, 7, 2, 32
"c:\Users\Raheel\Desktop\For Error Sreenshots\ProjectFinaCopy\index.html", "HTML", 122, 0, 0, 11, 7, 140
"c:\Users\Raheel\Desktop\For Error Sreenshots\ProjectFinaCopy\login.html", "HTML", 159, 0, 0, 29, 7, 195
"c:\Users\Raheel\Desktop\For Error Sreenshots\ProjectFinaCopy\monthly.html", "HTML", 74, 0, 0, 1, 0, 75
"c:\Users\Raheel\Desktop\For Error Sreenshots\ProjectFinaCopy\product.html", "HTML", 107, 0, 0, 11, 19, 137
"c:\Users\Raheel\Desktop\For Error Sreenshots\ProjectFinaCopy\productdetail.html", "HTML", 143, 0, 0, 31, 8, 182
"c:\Users\Raheel\Desktop\For Error Sreenshots\ProjectFinaCopy\register.html", "HTML", 267, 0, 0, 20, 13, 300
"c:\Users\Raheel\Desktop\For Error Sreenshots\ProjectFinaCopy\results.html", "HTML", 94, 0, 0, 10, 21, 125
"c:\Users\Raheel\Desktop\For Error Sreenshots\ProjectFinaCopy\statsDaily.html", "HTML", 71, 0, 0, 0, 0, 71
"c:\Users\Raheel\Desktop\For Error Sreenshots\ProjectFinaCopy\style.css", "CSS", 0, 58, 0, 5, 4, 67
"c:\Users\Raheel\Desktop\For Error Sreenshots\ProjectFinaCopy\weekly.html", "HTML", 71, 0, 0, 0, 0, 71
"Total", "-", 1433, 9922, 24, 195, 136, 11710
